"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"R1";"10R 1W";"R-EU_0411/15";"0411/15";"RESISTOR, European symbol";"";"";"";"";"";"";
"R2";"10k ?";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"R3";"100";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"R4";"10k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"RL_DR";"2803";"ULN2803ADWR";"SOIC127P1030X265-18N";"Darlington transistor array";"";"ULN2803ADWR";"1652420";"87H4769";"SOIC-18";"TEXAS INSTRUMENTS";
"RN1";"330";"RESISTOR_ARRAY_8";"CAT16-F8/CAT16-J8";"";"";"";"";"";"";"";
"RN2";"100";"RESISTOR_ARRAY_8";"CAT16-F8/CAT16-J8";"";"";"";"";"";"";"";
"RN3";"330";"RESISTOR_ARRAY_8";"CAT16-F8/CAT16-J8";"";"";"";"";"";"";"";
"RN4";"100";"RESISTOR_ARRAY_4";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";"";"";"";"";"";
"RN5";"10k";"RESISTOR_ARRAY_4";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";"";"";"";"";"";
"RN6";"10k";"RESISTOR_ARRAY_4";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";"";"";"";"";"";
"SJ1";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";
"SJ2";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";
"SJ3";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";
"SJ4";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";
"SJ5";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";
"SJ6";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";
"SW2";"EC12E_SW";"EC12E_SW";"ALPS_EC12E_SW";"ALPS rotary Encoder EC12E series with switch";"";"EC12E2424407";"1520813";"74M1068";"";"";
"SW_IN1";"SW_MEMBRANE";"SW_MEMBRANE";"SW_MEMBRANE";"";"";"";"";"";"";"";
"SW_IN2";"SW_MEMBRANE";"SW_MEMBRANE";"SW_MEMBRANE";"";"";"";"";"";"";"";
"SW_IN3";"SW_MEMBRANE";"SW_MEMBRANE";"SW_MEMBRANE";"";"";"";"";"";"";"";
"SW_IN4";"SW_MEMBRANE";"SW_MEMBRANE";"SW_MEMBRANE";"";"";"";"";"";"";"";
"SW_IN5";"SW_MEMBRANE";"SW_MEMBRANE";"SW_MEMBRANE";"";"";"";"";"";"";"";
"SW_IN6";"SW_MEMBRANE";"SW_MEMBRANE";"SW_MEMBRANE";"";"";"";"";"";"";"";
"SW_MUTE";"SW_MEMBRANE";"SW_MEMBRANE";"SW_MEMBRANE";"";"";"";"";"";"";"";
"SW_OPT";"SW_MEMBRANE";"SW_MEMBRANE";"SW_MEMBRANE";"";"";"";"";"";"";"";
"SW_PRE";"SW_MEMBRANE";"SW_MEMBRANE";"SW_MEMBRANE";"";"";"";"";"";"";"";
"SW_STBY";"SW_MEMBRANE";"SW_MEMBRANE";"SW_MEMBRANE";"";"";"";"";"";"";"";
"T1";"2N2222";"2N2222";"TO18";"NPN TRANSISTOR";"";"";"";"";"";"";
"U$1";"2.2"TFT2_2TFT";"2.2"TFT2_2TFT";"2.2"TFT";"";"";"";"";"";"";"";
