"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"RVOL19";"825";"R-EU_0309/10";"0309/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"RVOL20";"53k6";"R-EU_0309/10";"0309/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"RVOL21";"1k58";"R-EU_0309/10";"0309/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"RVOL22";"24k3";"R-EU_0309/10";"0309/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"RVOL23";"2k94";"R-EU_0309/10";"0309/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"RVOL24";"10k";"R-EU_0309/10";"0309/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"RVOL25";"4k99";"R-EU_0309/10";"0309/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"RVOL26";"3k32";"R-EU_0309/10";"0309/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"RVOL27";"7k5";"R-EU_0309/10";"0309/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"RVOL28";"681";"R-EU_0309/10";"0309/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"RVOL29";"9k13";"R-EU_0309/10";"0309/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"RVOL30";"40.2";"R-EU_0309/10";"0309/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"RVOL31";"10k";"R-EU_0309/10";"0309/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"SJ1";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";
"SJ2";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";
"SJ3";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";
"TO_EXT_PRE_IN";"";"C-GRID-03-70543";"70543-03";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"VOL_DR";"2803";"ULN2803ADWR";"SOIC127P1030X265-18N";"Darlington transistor array";"";"ULN2803ADWR";"1652420";"87H4769";"SOIC-18";"TEXAS INSTRUMENTS";
"X_IN_1";"NC3FAH2";"NC3FAH2";"NC3FAH2";"Neutrik Audio Connector XLR SERIES";"";"NC3FAH2";"unknown";"27B4208";"";"";
"X_IN_2";"NC3FAH2";"NC3FAH2";"NC3FAH2";"Neutrik Audio Connector XLR SERIES";"";"NC3FAH2";"unknown";"27B4208";"";"";
"X_OUT_1";"NC3MBH";"NC3MBH";"NC3MBH";"Neutrik Audio Connector XLR SERIES";"NEUTRIK";"NC3MBH";"unknown";"91F3470";"";"";
